song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
La Marseillaise (abridged),Rouget de Lisle,1909,Person,male,00:01:00,french,Bernard,new,20230718,1.841,bastille
Lady Madonna,The Baotles,1970,Group,male,00:02:10,english,Bernard,old,20210907,2.393,regular
Lambada,Kaoma,1989,Group,female,00:03:04,portuguese,Manuel,new,,,
Last Christmas,Wham!,1984,Group,male,00:04:28,english,Manuel,off,20221206,1.838,xmas
Lava,"Kuana Torres Kahele, Napua Greig, James Ford Murphy",2015,Person,duet,00:05:36,english,Cristina,new,20230214,1.676,valentines
Le Banana Split,Lio,1979,Person,female,00:02:28,french,Bernard,new,20230718,1.651,
Learn to Fly,Foo Fighters,2013,Group,male,00:03:52,english,Manuel,new,20220329,3.025,regular
Les Champs-Élysées,Joe Dassin,1969,Person,male,00:02:26,french,Bernard,old,20230718,4.179,
Let it Be,The Baotles,1970,Group,male,00:03:42,english,Manuel,old,20220201,2.068,"regular,valentines"
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2020,Person,female,00:03:23,english,Manuel,new,,,
Linger,The Cranberries,1993,Group,female,00:04:30,english,Manuel,off,20220222,1.902,"regular,womens,paddys"
Little Lion Man,Mumford and Sons,2009,Group,male,00:03:56,english,Manuel,old,20211130,2.358,regular
Little Talks,Of Monsters And Men,2011,Group,duet,00:04:02,english,Jacques,new,,,
Live is Life,Opus,1984,Group,male,00:03:56,english,Manuel,new,,,
Livin' on a Prayer,Bon Jovi,1987,Group,male,00:03:40,english,Manuel,old,20211102,2.562,regular
Lola,The Kinks,1970,Group,male,00:03:40,english,Manuel,old,20211123,3.449,"valentines,pride"
Losing My Religion,R.E.M.,1991,Group,male,00:04:24,english,Jacques,new,,,
Love Machine,Girls Aloud,2008,Group,female,00:03:16,english,Cristina,new,20240213,1.796,"regular,valentines,womens"
Love Me Do,The Baotles,1962,Group,male,00:02:18,english,Manuel,new,,,valentines
Luka,Suzanne Vega,1987,Person,female,00:03:44,english,Manuel,new,,,
Macarena (Bayside Boys Remix),Los Del Rio,1995,Group,duet,00:03:42,"spanish,english",Manuel,new,20220510,4.266,regular
Man! I Feel Like A Woman!,Shania Twain,1997,Person,female,00:03:54,english,Cristina,new,20220920,3.017,"regular,womens"
Material Girl,Madonna,1985,Person,female,00:04:00,english,Manuel,new,20230221,2.845,"regular,womens,pride"
Merry Christmas (I Don't Want to Fight Tonight),Ramones,1989,Group,male,00:02:00,english,Manuel,new,20221206,1.916,xmas
Merry Christmas Everyone,Shakin' Stevens,1985,Person,male,00:03:38,english,Manuel,new,20211207,,xmas
